--- AEGIS CAMERA LOOP STARTED ---
Camera stream opened.
Model found at: ../models/seeta_fd_frontal_v1.0.bin
Face detection thread spawned.
Entering main capture loop.
[F5] FPS: 5.8
[F22] FPS: 16.5
[F40] FPS: 17.5
[F56] FPS: 15.8
[F74] FPS: 17.5
[F91] FPS: 15.2
[F109] FPS: 17.0
[F126] FPS: 17.0
[F144] FPS: 17.2
[F161] FPS: 15.0
[F179] FPS: 18.0
[F196] FPS: 16.5
[F213] FPS: 16.1
[F229] FPS: 15.5
[F246] FPS: 16.3
[F263] FPS: 16.5
[F280] FPS: 16.3
[F297] FPS: 16.1
[F314] FPS: 16.4
[F331] FPS: 16.0
[F348] FPS: 16.2
[F365] FPS: 16.6
[F382] FPS: 16.6
[F400] FPS: 17.0
[F416] FPS: 15.7
[F433] FPS: 16.6
[F451] FPS: 16.5
[F469] FPS: 17.5
[F486] FPS: 16.1
[F503] FPS: 16.6
[F520] FPS: 16.6
[F537] FPS: 16.6
[F554] FPS: 16.3
[F570] FPS: 15.8
[F586] FPS: 15.9
[F603] FPS: 16.6
[F620] FPS: 16.8
[F636] FPS: 15.6
[F653] FPS: 16.7
[F670] FPS: 16.5
[F686] FPS: 15.0
[F703] FPS: 16.9
[F719] FPS: 15.7
[F736] FPS: 15.7
[F753] FPS: 16.5
[F770] FPS: 16.3
[F786] FPS: 15.7
[F803] FPS: 16.7
[F821] FPS: 16.5
[F838] FPS: 16.8
[F854] FPS: 15.9
[F870] FPS: 15.5
[F886] FPS: 15.2
[F904] FPS: 17.1
[F921] FPS: 16.0
[F938] FPS: 16.4
[F955] FPS: 16.6
[F971] FPS: 15.6
[F987] FPS: 15.5
[F1003] FPS: 15.9
[F1019] FPS: 15.6
[F1036] FPS: 15.9
[F1053] FPS: 16.2
[F1070] FPS: 16.5
[F1086] FPS: 15.2
[F1102] FPS: 15.6
[F1119] FPS: 16.6
[F1136] FPS: 15.8
[F1153] FPS: 16.8
[F1170] FPS: 17.0
[F1186] FPS: 15.7
[F1203] FPS: 16.4
[F1221] FPS: 16.8
[F1238] FPS: 16.8
[F1255] FPS: 16.3
[F1272] FPS: 16.2
[F1289] FPS: 16.3
[F1306] FPS: 16.1
[F1323] FPS: 16.9
[F1339] FPS: 15.9
[F1356] FPS: 15.6
[F1373] FPS: 16.3
[F1390] FPS: 16.3
[F1406] FPS: 15.7
[F1423] FPS: 16.1
[F1440] FPS: 16.2
[F1456] FPS: 15.6
[F1472] FPS: 15.7
[F1489] FPS: 16.4
[F1506] FPS: 15.7
[F1522] FPS: 15.9
[F1538] FPS: 15.5
[F1555] FPS: 16.1
[F1571] FPS: 15.6
[F1588] FPS: 16.3
[F1605] FPS: 16.5
[F1621] FPS: 15.9
[F1638] FPS: 16.6
[F1655] FPS: 16.8
[F1671] FPS: 16.0
[F1688] FPS: 16.2
[F1705] FPS: 16.3
[F1721] FPS: 15.4
[F1738] FPS: 16.7
[F1755] FPS: 16.6
[F1771] FPS: 15.1
[F1788] FPS: 16.7
[F1804] FPS: 15.7
[F1821] FPS: 16.0
[F1838] FPS: 16.2
[F1855] FPS: 16.4
[F1871] FPS: 15.7
[F1888] FPS: 16.4
[F1904] FPS: 16.0
[F1921] FPS: 15.5
[F1938] FPS: 16.8
[F1955] FPS: 17.0
[F1971] FPS: 15.2
[F1988] FPS: 16.4
[F2004] FPS: 15.7
